target_total_drops,n,mean_first_attempt_no,median_first_attempt_no,p25_first_attempt_no,p75_first_attempt_no
2,106,1.0377358490566038,1.0,1.0,1.0
3,99,1.1313131313131313,1.0,1.0,1.0
4,90,1.4555555555555555,1.0,1.0,1.0
5,32,1.375,1.0,1.0,1.25
6,11,1.1818181818181819,1.0,1.0,1.0
7,12,1.5,1.0,1.0,2.0
8,9,1.1111111111111112,1.0,1.0,1.0
9,12,1.1666666666666667,1.0,1.0,1.0
10,8,1.0,1.0,1.0,1.0
11,9,1.1111111111111112,1.0,1.0,1.0
12,5,1.0,1.0,1.0,1.0
13,2,1.0,1.0,1.0,1.0
14,3,1.6666666666666667,1.0,1.0,2.0
15,1,3.0,3.0,3.0,3.0
16,1,1.0,1.0,1.0,1.0
17,1,2.0,2.0,2.0,2.0
18,3,1.6666666666666667,1.0,1.0,2.0
19,1,1.0,1.0,1.0,1.0
20,1,2.0,2.0,2.0,2.0
28,1,1.0,1.0,1.0,1.0
