target_total_drops,n,mean_first_attempt,median_first_attempt,p25,p75
2,545,1.0568807339449542,1.0,1.0,1.0
4,18,3.3333333333333335,2.0,1.0,4.0
6,13,1.3846153846153846,1.0,1.0,1.0
7,35,1.6571428571428573,1.0,1.0,1.5
8,7,3.857142857142857,1.0,1.0,1.5
9,77,1.12987012987013,1.0,1.0,1.0
10,2,1.5,1.5,1.25,1.75
11,22,1.0454545454545454,1.0,1.0,1.0
12,14,1.2857142857142858,1.0,1.0,1.75
13,65,1.1538461538461537,1.0,1.0,1.0
14,20,1.7,1.0,1.0,2.0
15,54,1.3518518518518519,1.0,1.0,1.0
16,8,1.375,1.0,1.0,1.25
17,33,1.4242424242424243,1.0,1.0,1.0
18,19,1.7894736842105263,2.0,1.0,2.0
19,7,2.2857142857142856,1.0,1.0,1.0
20,8,1.125,1.0,1.0,1.0
21,26,1.7692307692307692,1.0,1.0,2.0
22,17,1.4705882352941178,1.0,1.0,2.0
23,10,3.2,1.0,1.0,2.75
24,15,1.4,1.0,1.0,2.0
25,12,3.5833333333333335,1.5,1.0,3.0
26,22,1.9545454545454546,1.0,1.0,2.75
27,14,2.0,2.0,1.0,2.0
28,7,1.8571428571428572,2.0,1.0,2.0
29,7,3.4285714285714284,3.0,1.5,4.0
30,12,2.1666666666666665,1.5,1.0,2.5
31,6,2.6666666666666665,1.5,1.0,4.25
32,10,3.3,2.0,1.0,2.0
33,5,1.8,1.0,1.0,3.0
34,14,2.5,2.0,1.0,2.0
35,5,2.0,2.0,1.0,2.0
36,5,2.0,1.0,1.0,3.0
37,4,1.25,1.0,1.0,1.25
38,8,4.5,3.0,1.0,5.5
39,9,2.0,1.0,1.0,3.0
40,4,1.0,1.0,1.0,1.0
41,1,1.0,1.0,1.0,1.0
42,9,1.5555555555555556,1.0,1.0,2.0
43,4,1.75,1.5,1.0,2.25
44,2,2.0,2.0,1.5,2.5
45,8,1.125,1.0,1.0,1.0
46,5,1.2,1.0,1.0,1.0
47,4,2.5,2.5,1.75,3.25
48,4,1.25,1.0,1.0,1.25
49,8,2.625,2.0,1.0,3.5
50,6,6.0,3.0,1.25,7.75
51,2,1.0,1.0,1.0,1.0
52,6,2.1666666666666665,1.5,1.0,2.75
53,3,1.0,1.0,1.0,1.0
54,2,1.0,1.0,1.0,1.0
55,3,2.3333333333333335,2.0,2.0,2.5
56,1,4.0,4.0,4.0,4.0
57,4,1.0,1.0,1.0,1.0
59,2,2.5,2.5,1.75,3.25
60,2,1.0,1.0,1.0,1.0
61,2,1.0,1.0,1.0,1.0
62,2,1.0,1.0,1.0,1.0
63,1,1.0,1.0,1.0,1.0
64,1,2.0,2.0,2.0,2.0
65,2,1.0,1.0,1.0,1.0
66,3,1.6666666666666667,1.0,1.0,2.0
68,2,1.5,1.5,1.25,1.75
69,4,2.25,1.0,1.0,2.25
70,3,1.6666666666666667,2.0,1.5,2.0
71,1,1.0,1.0,1.0,1.0
72,2,1.5,1.5,1.25,1.75
73,4,2.5,2.5,1.75,3.25
74,5,1.2,1.0,1.0,1.0
75,1,6.0,6.0,6.0,6.0
77,1,1.0,1.0,1.0,1.0
78,3,1.0,1.0,1.0,1.0
80,2,3.0,3.0,2.5,3.5
82,2,1.0,1.0,1.0,1.0
83,1,1.0,1.0,1.0,1.0
85,1,3.0,3.0,3.0,3.0
86,1,1.0,1.0,1.0,1.0
90,1,2.0,2.0,2.0,2.0
91,2,2.0,2.0,1.5,2.5
92,1,1.0,1.0,1.0,1.0
93,2,1.5,1.5,1.25,1.75
94,1,1.0,1.0,1.0,1.0
97,1,3.0,3.0,3.0,3.0
98,1,1.0,1.0,1.0,1.0
99,2,1.0,1.0,1.0,1.0
100,1,1.0,1.0,1.0,1.0
101,2,2.0,2.0,1.5,2.5
102,1,2.0,2.0,2.0,2.0
103,1,4.0,4.0,4.0,4.0
104,1,1.0,1.0,1.0,1.0
105,1,1.0,1.0,1.0,1.0
106,2,2.5,2.5,1.75,3.25
107,1,1.0,1.0,1.0,1.0
108,1,1.0,1.0,1.0,1.0
109,2,2.0,2.0,1.5,2.5
110,1,2.0,2.0,2.0,2.0
112,1,3.0,3.0,3.0,3.0
113,1,1.0,1.0,1.0,1.0
115,1,1.0,1.0,1.0,1.0
117,1,2.0,2.0,2.0,2.0
118,2,1.5,1.5,1.25,1.75
119,1,1.0,1.0,1.0,1.0
120,1,5.0,5.0,5.0,5.0
123,1,2.0,2.0,2.0,2.0
125,1,2.0,2.0,2.0,2.0
126,1,1.0,1.0,1.0,1.0
128,2,1.0,1.0,1.0,1.0
133,3,4.333333333333333,1.0,1.0,6.0
135,1,1.0,1.0,1.0,1.0
136,1,1.0,1.0,1.0,1.0
137,1,1.0,1.0,1.0,1.0
138,1,1.0,1.0,1.0,1.0
141,2,1.0,1.0,1.0,1.0
144,1,1.0,1.0,1.0,1.0
145,1,2.0,2.0,2.0,2.0
147,1,1.0,1.0,1.0,1.0
152,1,10.0,10.0,10.0,10.0
153,1,5.0,5.0,5.0,5.0
154,1,1.0,1.0,1.0,1.0
158,1,4.0,4.0,4.0,4.0
161,1,1.0,1.0,1.0,1.0
162,1,1.0,1.0,1.0,1.0
174,1,1.0,1.0,1.0,1.0
179,1,1.0,1.0,1.0,1.0
182,1,4.0,4.0,4.0,4.0
189,1,1.0,1.0,1.0,1.0
194,1,1.0,1.0,1.0,1.0
207,1,2.0,2.0,2.0,2.0
211,1,1.0,1.0,1.0,1.0
212,1,1.0,1.0,1.0,1.0
217,1,1.0,1.0,1.0,1.0
230,1,1.0,1.0,1.0,1.0
243,1,3.0,3.0,3.0,3.0
246,1,1.0,1.0,1.0,1.0
257,1,3.0,3.0,3.0,3.0
276,1,2.0,2.0,2.0,2.0
277,1,1.0,1.0,1.0,1.0
278,1,5.0,5.0,5.0,5.0
296,1,1.0,1.0,1.0,1.0
308,1,1.0,1.0,1.0,1.0
317,1,1.0,1.0,1.0,1.0
320,1,1.0,1.0,1.0,1.0
326,1,1.0,1.0,1.0,1.0
328,1,1.0,1.0,1.0,1.0
332,1,1.0,1.0,1.0,1.0
334,1,1.0,1.0,1.0,1.0
339,1,1.0,1.0,1.0,1.0
511,1,1.0,1.0,1.0,1.0
