target_color_id,n,mean_deltae,share_perfect,color_type
21,3,0.7292019052273546,0.3333333333333333,skin
3,515,0.7970164417372357,0.9786407766990292,basic
1,604,1.0762809852451307,0.9387417218543046,basic
18,1,1.264147092842541,0.0,skin
14,23,1.5300858056343682,0.34782608695652173,skin
2,542,1.630289710732574,0.9630996309963099,basic
28,19,2.0903284090368914,0.3684210526315789,skin
22,28,2.1845766443157237,0.32142857142857145,skin
37,14,2.256157128697176,0.07142857142857142,skin
4,202,2.3131252184329205,0.6534653465346535,basic
13,28,2.4563995406920767,0.32142857142857145,skin
17,21,2.4626511308340673,0.19047619047619047,skin
27,32,2.4976657118382906,0.1875,skin
7,149,3.0339037280086125,0.697986577181208,basic
19,22,3.1188865343436607,0.09090909090909091,skin
32,18,3.292534579493276,0.1111111111111111,skin
16,22,3.3810933002159644,0.22727272727272727,skin
29,20,3.4811636785752227,0.05,skin
5,155,3.6297686736965127,0.4258064516129032,basic
39,21,3.6993457926261275,0.047619047619047616,skin
25,22,3.7302062809964083,0.45454545454545453,skin
24,36,3.7646081832607177,0.05555555555555555,skin
34,29,3.9252244962959097,0.10344827586206896,skin
31,23,4.034867153891452,0.043478260869565216,skin
12,67,4.198110483203089,0.29850746268656714,skin
15,53,4.355697968850118,0.18867924528301888,skin
30,21,4.751410495406001,0.14285714285714285,skin
6,150,5.528075353232429,0.15333333333333332,basic
20,21,5.638491206085147,0.14285714285714285,skin
10,100,5.664999771710049,0.29,basic
23,24,6.019504653923545,0.041666666666666664,skin
35,25,6.306648688859473,0.08,skin
40,35,6.389488443444821,0.22857142857142856,skin
36,18,6.529975935030652,0.16666666666666666,skin
9,109,6.784565717922316,0.3394495412844037,basic
8,129,7.760785646865462,0.2868217054263566,basic
26,30,7.840481099897155,0.06666666666666667,skin
38,31,7.890922172368971,0.06451612903225806,skin
11,123,7.898693615211226,0.12195121951219512,basic
33,19,8.303550141053622,0.21052631578947367,skin
